iter	RMSE
230	30760.73296
231	30742.14851
232	30733.61086
233	30721.39803
234	30709.18147
235	30694.74611
236	30677.55965
237	30666.36428
238	30652.12993
239	30635.87221
240	30621.3457
241	30612.4137
242	30604.73697
243	30593.81887
244	30585.99813
245	30578.82879
246	30560.71748
247	30544.98444
248	30535.33156
249	30520.38633
250	30504.8707
251	30484.11196
252	30471.37455
253	30462.20113
254	30449.7706
255	30435.61174
256	30428.02795
257	30418.42502
258	30403.45627
259	30397.37978
260	30389.01273
261	30373.72451
262	30358.25715
263	30342.76965
264	30327.43537
265	30316.75873
266	30299.36717
267	30286.69878
268	30274.01366
269	30261.11846
270	30239.49713
271	30225.75463
272	30202.37366
273	30183.11422
274	30176.33841
275	30156.66722
276	30144.73255
277	30126.15556
278	30112.03084
279	30099.17785
280	30088.86753
281	30076.84725
282	30062.76044
283	30053.16293
284	30039.93222
285	30024.45099
286	30010.53162
287	30009.27274
288	29997.48213
289	29988.66376
290	29969.81253
291	29954.92381
292	29947.39046
293	29934.93362
294	29921.64915
295	29904.88979
296	29892.14865
297	29881.66935
298	29871.14121
299	29855.5667
300	29844.26665
301	29838.5749
302	29828.8229
303	29817.88441
304	29797.82255
305	29785.76856
306	29776.51329
307	29759.71403
308	29749.46553
309	29739.11775
310	29730.87851
311	29724.62536
312	29713.58362
313	29701.72997
314	29693.94149
315	29680.13327
316	29672.55879
317	29657.48699
318	29648.53397
319	29637.24487
320	29623.02006
321	29614.32726
322	29607.06251
323	29599.2195
324	29593.35105
325	29580.61736
326	29571.01318
327	29560.17442
328	29544.77213
329	29530.8074
330	29517.58026
331	29499.4089
332	29490.35087
333	29485.39754
334	29473.98416
335	29467.43339
336	29454.47113
337	29433.85685
338	29420.64219
339	29409.45235
340	29401.57069
341	29391.64404
342	29388.31702
343	29369.18385
344	29355.02645
345	29342.8867
346	29336.30024
347	29332.53396
348	29321.17968
349	29312.34936
