id,latitude,longitude,name,ref,network,operator
1490042340,-34.5957687,-58.392903,Avenida Callao,,,
1490042343,-34.5959549,-58.3889942,Santa Fe y Paraná,,,
1490044728,-34.5954165,-58.3932037,Callao y Santa Fe,,,
1490044730,-34.5957617,-58.3925491,Avenida Callao,,,
1490044732,-34.5974508,-58.3930564,Plaza Rodriguez Peña,,,
1490044733,-34.5976263,-58.3930388,Plaza Rodriguez Peña,,,
1490044735,-34.5957613,-58.3922158,Santa Fe y Rodriguez Peña,,,
1490044738,-34.5956518,-58.3920238,Avenida Santa Fe,,,
1490044740,-34.5959346,-58.3887917,Santa Fe y Paraná,,,
1490044741,-34.5959226,-58.3927878,Santa Fe y Callao,,,
1493476694,-34.6198713,-58.3685866,Humberto I,,,
1493476757,-34.6273505,-58.3817621,Plaza Constitución,,,
1506462591,-34.6422434,-58.53185,Pereyra y Luchter,,,
1506462594,-34.6448996,-58.5333578,Amoretti y Rucci,,,
1506462607,-34.6445163,-58.5343185,Estero Bellaco y Rucci,,,
1506517988,-34.597116,-58.39479,Riobamba y Marcelo T de Alvear,,,
1610630457,-34.5832419,-58.396548,Biblioteca Nacional,,,
1610630463,-34.5833149,-58.396237,Biblioteca Nacional,,,
1610649355,-34.5852509,-58.3888696,Palais de Glace,,,
1611770975,-34.630516,-58.5264177,Madero y Lascano,,,
1624654850,-34.6263593,-58.3593204,,,,
1627733883,-34.6072954,-58.4061083,Pueyrredón y Sarmiento,,,
1627733885,-34.6076052,-58.4061252,Pueyrredón y Sarmiento,,,
1627734550,-34.6090586,-58.4064674,Plaza Miserere,,,
1629199777,-34.6347307,-58.5270949,J.B. Justo y Gana,,,
1630132428,-34.590676,-58.3724891,Retiro,,,
1637215891,-34.5805274,-58.4204349,Plaza Italia,,,
1637215894,-34.5806488,-58.4201822,Plaza Italia,,,
1637215896,-34.5801145,-58.4200503,Plaza Italia,,,
1637215897,-34.5802071,-58.4201458,Plaza Italia,,,
1637215898,-34.5801745,-58.4201122,Plaza Italia,,,
1637215900,-34.5803463,-58.4202734,Plaza Italia,,,
1637215901,-34.5800422,-58.4199787,Plaza Italia,,,
1637240272,-34.5860977,-58.3763082,Terminal Retiro,,,
1639074831,-34.655678,-58.3745685,Puente Pueyrredón,,,
1639075045,-34.6601655,-58.3706975,Plaza Barracas Iglesias,,,
1639093690,-34.6600825,-58.3742588,Carrefour Avellaneda,,,
1642380283,-34.6605848,-58.3868219,Pellegrini y Fernández,,,
1642380327,-34.6618555,-58.385985,Oliden y Rivero,,,
1642974376,-34.6090483,-58.4071505,Plaza Miserere,,,
1642974415,-34.6091079,-58.4078552,Plaza Miserere,,,
